Id,Neighborhood,BldgType,HouseStyle,GrLivArea,TotRmsAbvGrd,SalePrice
410,Somerst,1Fam,2Story,2078,8,339750
411,Edwards,1Fam,1Story,1276,5,60000
412,Gilbert,2fmCon,1Story,1056,5,145000
413,Somerst,1Fam,1Story,1478,7,222000
414,OldTown,1Fam,1Story,1028,5,115000
415,SawyerW,1Fam,2Story,2097,9,228000
416,Gilbert,1Fam,1Story,1340,6,181134
417,Sawyer,1Fam,2Story,1400,6,149500
418,Crawfor,1Fam,2Story,2624,10,239000
419,Edwards,1Fam,1.5Fin,1134,7,126000
420,NAmes,1Fam,1Story,1056,6,142000
421,Mitchel,Duplex,SFoyer,1344,8,206300
422,NWAmes,1Fam,1Story,1602,8,215000
423,Mitchel,1Fam,1Story,988,4,113000
424,NoRidge,1Fam,2Story,2630,8,315000
425,NAmes,1Fam,1Story,1196,6,139000
426,OldTown,1Fam,2Story,1389,6,135000
427,SawyerW,1Fam,SLvl,1644,5,275000
428,NAmes,1Fam,1Story,907,5,109008
429,CollgCr,1Fam,1Story,1208,6,195400
430,Timber,1Fam,1Story,1412,6,175000
431,BrDale,Twnhs,2Story,987,4,85400
432,OldTown,1Fam,1.5Fin,1198,7,79900
433,BrDale,TwnhsE,2Story,1365,6,122500
434,Gilbert,1Fam,2Story,1604,7,181000
435,MeadowV,Twnhs,SFoyer,630,3,81000
436,CollgCr,1Fam,2Story,1661,6,212000
437,OldTown,1Fam,1.5Fin,1118,6,116000
438,BrkSide,1Fam,1.5Unf,904,4,119000
439,Crawfor,1Fam,1Story,694,4,90350
440,Edwards,1Fam,1.5Fin,1196,7,110000
441,NridgHt,1Fam,1Story,2402,10,555000
442,Edwards,Duplex,1Story,1440,8,118000
443,BrkSide,1Fam,1.5Fin,1573,8,162900
444,Blmngtn,TwnhsE,1Story,1258,6,172500
445,CollgCr,1Fam,2Story,1908,8,210000
446,Edwards,1Fam,1Story,1689,7,127500
447,NAmes,1Fam,1Story,1888,6,190000
448,Gilbert,1Fam,2Story,1886,10,199900
449,IDOTRR,1Fam,1.5Fin,1376,7,119500
450,OldTown,1Fam,1.5Fin,1183,6,120000
451,OldTown,1Fam,1Story,813,5,110000
452,ClearCr,1Fam,1Story,1533,5,280000
453,Timber,1Fam,2Story,1756,7,204000
454,Somerst,1Fam,2Story,1590,6,210000
455,Mitchel,Duplex,1Story,1728,8,188000
456,NWAmes,1Fam,1Story,1242,6,175500
457,OldTown,1Fam,2Story,1344,7,98000
458,ClearCr,1Fam,1Story,1663,6,256000
459,OldTown,1Fam,2Story,1666,7,161000
460,BrkSide,1Fam,1.5Fin,1203,5,110000
461,Somerst,1Fam,2Story,1935,8,263435
462,SWISU,1Fam,2Story,1135,6,155000
463,Sawyer,1Fam,1Story,864,5,62383
464,Crawfor,1Fam,2Story,1660,6,188700
465,CollgCr,1Fam,1Story,1040,5,124000
466,Blmngtn,TwnhsE,1Story,1414,6,178740
467,NAmes,1Fam,1Story,1277,5,167000
468,NAmes,1Fam,2Story,1644,7,146500
469,NridgHt,1Fam,1Story,1634,7,250000
470,SawyerW,1Fam,2Story,1710,7,187000
471,StoneBr,TwnhsE,1Story,1502,4,212000
472,NWAmes,1Fam,2Story,1969,8,190000
473,Edwards,TwnhsE,SLvl,1072,5,148000
474,NridgHt,1Fam,1Story,1976,7,440000
475,StoneBr,TwnhsE,1Story,1652,6,251000
476,Sawyer,1Fam,1Story,970,5,132500
477,CollgCr,1Fam,1Story,1493,7,208900
478,NridgHt,1Fam,2Story,2643,9,380000
479,CollgCr,1Fam,1Story,1718,7,297000
480,OldTown,1Fam,1Story,1131,7,89471
481,NridgHt,1Fam,1Story,1850,8,326000
482,NridgHt,1Fam,1Story,1792,6,374000
483,OldTown,1Fam,2Story,1826,7,155000
484,Mitchel,Twnhs,1Story,1216,5,164000
485,Sawyer,1Fam,1Story,999,6,132500
486,NAmes,1Fam,1Story,1113,5,147000
487,NAmes,1Fam,1Story,1073,6,156000
488,NWAmes,1Fam,1Story,1484,7,175000
489,OldTown,2fmCon,1.5Fin,2414,10,160000
490,MeadowV,Twnhs,SFoyer,630,3,86000
491,MeadowV,TwnhsE,2Story,1304,4,115000
492,NAmes,1Fam,1.5Fin,1578,5,133000
493,Gilbert,1Fam,2Story,1456,8,172785
494,NAmes,1Fam,1Story,1269,6,155000
495,OldTown,1Fam,1Story,886,4,91300
496,IDOTRR,1Fam,1Story,720,4,34900
497,NoRidge,1Fam,1Story,3228,10,430000
498,BrkSide,1Fam,1.5Fin,1820,8,184000
499,Sawyer,1Fam,1Story,899,5,130000
500,NAmes,1Fam,1Story,912,5,120000
501,BrDale,Twnhs,2Story,1218,7,113000
502,Somerst,1Fam,2Story,1768,7,226700
503,Edwards,1Fam,1Story,1214,6,140000
504,Crawfor,1Fam,1Story,1801,6,289000
505,NPkVill,TwnhsE,2Story,1322,6,147000
506,OldTown,Duplex,2Story,1960,10,124500
507,SawyerW,1Fam,2Story,1911,8,215000
508,Somerst,1Fam,1Story,1218,4,208300
509,OldTown,1Fam,2Story,1378,7,161000
510,NAmes,1Fam,1Story,1041,6,124500
511,NAmes,1Fam,1Story,1363,6,164900
512,NridgHt,TwnhsE,1Story,1368,6,202665
513,NAmes,1Fam,1Story,864,5,129900
514,Mitchel,1Fam,1Story,1080,5,134000
515,Crawfor,1Fam,1.5Unf,789,5,96500
516,NridgHt,1Fam,1Story,2020,9,402861
517,NWAmes,1Fam,SLvl,2119,7,158000
518,NoRidge,1Fam,2Story,2344,7,265000
519,CollgCr,1Fam,2Story,1796,7,211000
520,Crawfor,1Fam,2Story,2080,9,234000
521,OldTown,2fmCon,2Story,1294,7,106250
522,NAmes,1Fam,1Story,1244,6,150000
523,BrkSide,1Fam,1.5Fin,1664,7,159000
524,Edwards,1Fam,2Story,4676,11,184750
525,NoRidge,1Fam,2Story,2398,8,315750
526,Somerst,1Fam,1Story,1266,6,176000
527,NAmes,1Fam,1Story,928,4,132000
528,NridgHt,1Fam,2Story,2713,11,446261
529,Edwards,1Fam,1Story,605,5,86000
530,Crawfor,1Fam,1Story,2515,9,200624
531,Timber,1Fam,SLvl,1509,5,175000
532,BrkSide,1Fam,2Story,1362,6,128000
533,NAmes,1Fam,1Story,827,5,107500
534,BrkSide,1Fam,1Story,334,2,39300
535,Gilbert,1Fam,2Story,1414,6,178000
536,Edwards,2fmCon,2Story,1347,5,107500
537,CollgCr,1Fam,2Story,1724,8,188000
538,NAmes,1Fam,1Story,864,5,111250
539,Sawyer,1Fam,1Story,1159,7,158000
540,CollgCr,1Fam,1Story,1601,6,272000
541,Timber,1Fam,1Story,1838,8,315000
542,NoRidge,1Fam,2Story,2285,8,248000
543,NWAmes,1Fam,1Story,1680,7,213250
544,NAmes,TwnhsE,SFoyer,767,4,133000
545,Gilbert,1Fam,2Story,1496,7,179665
546,NWAmes,1Fam,1.5Fin,2183,9,229000
547,BrkSide,1Fam,1.5Fin,1635,6,210000
548,Mitchel,1Fam,SFoyer,768,5,129500
549,OldTown,1Fam,1Story,825,4,125000
550,Somerst,1Fam,2Story,2094,8,263000
551,NPkVill,TwnhsE,1Story,1069,4,140000
552,OldTown,1Fam,1Story,928,5,112500
553,NridgHt,1Fam,1Story,1717,7,255500
